日付,順位,コード,銘柄名,市場,株価,S高,前日比,前日比(%),約定回数,ＰＥＲ,ＰＢＲ,利回り
2021/05/14,1,9984,ＳＢＧ,東１,"8,528",,+61,+0.72%,"51,671",－,1.45,0.52
2021/05/14,2,4582,シンバイオ,ＪＧ,"1,382",,+211,+18.02%,"18,940",45.9,13.73,－
2021/05/14,3,1570,日経レバ,東Ｅ,"15,040",,+690,+4.81%,"17,781",－,－,－
2021/05/14,4,8306,三菱ＵＦＪ,東１,607.7,,+8.5,+1.42%,"16,872",－,0.47,4.11
2021/05/14,5,5401,日本製鉄,東１,"2,182.0",,-32.0,-1.45%,"15,305",8.4,0.73,－
2021/05/14,6,7203,トヨタ,東１,"8,478",,+86,+1.02%,"13,819",10.3,1.01,－
2021/05/14,7,4689,ＺＨＤ,東１,455.3,,+13.1,+2.96%,"12,925",－,1.29,1.22
2021/05/14,8,7201,日産自,東１,534.4,,+11.0,+2.10%,"12,721",－,0.53,－
2021/05/14,9,6613,ＱＤレーザ,東Ｍ,"1,290",,-110,-7.86%,"12,561",－,11.72,－
2021/05/14,10,8591,オリックス,東１,"1,856.5",,+93.0,+5.27%,"12,138",9.1,0.75,4.20
2021/05/14,11,8604,野村,東１,576.8,,+4.5,+0.79%,"12,041",－,0.66,－
2021/05/14,12,6629,Ｔホライゾン,ＪＱ,"1,641",,+154,+10.36%,"11,586",9.6,2.37,1.22
2021/05/14,13,6198,Ｃａｒｅｅｒ,東Ｍ,486,,-79,-13.98%,"11,458",411,3.42,－
2021/05/14,14,3436,ＳＵＭＣＯ,東１,"2,446",,+90,+3.82%,"11,096",－,2.21,－
2021/05/14,15,5020,ＥＮＥＯＳ,東１,463.1,,+1.0,+0.22%,"11,089",10.6,0.64,4.75
2021/05/14,16,7013,ＩＨＩ,東１,"2,328",,+188,+8.79%,"10,907",9.9,1.15,2.58
2021/05/14,17,7202,いすゞ,東１,"1,302",,+232,+21.68%,"10,825",9.2,0.99,4.45
2021/05/14,18,6699,ダイヤＨＤ,東１,"2,596",,-138,-5.05%,"10,753",11.9,2.54,0.96
2021/05/14,19,2413,エムスリー,東１,"7,116",,+190,+2.74%,"10,616",－,24.17,－
2021/05/14,20,4188,三菱ケミＨＤ,東１,846.7,,-3.4,-0.40%,"10,055",12.4,0.97,2.83
2021/05/14,21,3402,東レ,東１,695.0,,+18.9,+2.80%,"9,811",13.9,0.90,2.30
2021/05/14,22,7269,スズキ,東１,"4,250",,+126,+3.06%,"9,754",－,1.22,－
2021/05/14,23,6758,ソニーＧ,東１,"10,225",,+236,+2.36%,"9,738",19.2,2.27,－
2021/05/14,24,5411,ＪＦＥ,東１,"1,544",,-45,-2.83%,"9,729",6.8,0.53,－
2021/05/14,25,6178,日本郵政,東１,945.6,,+22.9,+2.48%,"9,538",11.2,0.28,5.29
2021/05/14,26,8002,丸紅,東１,928.6,,+8.2,+0.89%,"9,525",7.0,0.89,3.66
2021/05/14,27,6920,レーザーテク,東１,"17,660",,+960,+5.75%,"9,159",113,32.88,0.31
2021/05/14,28,6081,アライドアキ,東Ｍ,853,,+71,+9.08%,"9,132",37.6,6.11,－
2021/05/14,29,6981,村田製,東１,"8,270",,+276,+3.45%,"8,731",22.0,2.75,1.45
2021/05/14,30,4503,アステラス,東１,"1,674.0",,+9.0,+0.54%,"8,534",14.8,2.24,2.99
2021/05/14,31,9433,ＫＤＤＩ,東１,"3,532.0",,+154.0,+4.56%,"8,340",12.2,1.68,3.54
2021/05/14,32,8698,マネックスＧ,東１,779,,+3,+0.39%,"8,185",－,2.24,－
2021/05/14,33,5802,住友電,東１,"1,638.5",,+40.0,+2.50%,"8,141",11.6,0.78,3.05
2021/05/14,34,8308,りそなＨＤ,東１,469.9,,+1.5,+0.32%,"8,066",7.9,0.50,4.47
2021/05/14,35,4477,ＢＡＳＥ,東Ｍ,"1,670",,+124,+8.02%,"8,062",－,11.27,－
2021/05/14,36,4755,楽天グループ,東１,"1,304",,+61,+4.91%,"8,061",－,2.39,－
2021/05/14,37,3681,ブイキューブ,東１,"2,732",,-94,-3.33%,"7,968",33.0,15.68,0.29
2021/05/14,38,8316,三井住友ＦＧ,東１,"4,001",,+36,+0.91%,"7,878",9.1,0.46,5.00
2021/05/14,39,8750,第一生命ＨＤ,東１,"2,048.0",,+9.0,+0.44%,"7,669",8.1,0.47,3.76
2021/05/14,40,3923,ラクス,東１,"2,035",,+235,+13.06%,"7,421",－,47.03,0.09
2021/05/14,41,6098,リクルート,東１,"4,930",,+56,+1.15%,"7,420",65.2,7.60,0.39
2021/05/14,42,4568,第一三共,東１,"2,702.5",,+8.0,+0.30%,"7,387",103,4.07,1.00
2021/05/14,43,3407,旭化成,東１,"1,221.5",,+7.5,+0.62%,"7,332",10.9,1.15,2.78
2021/05/14,44,8031,三井物,東１,"2,398.0",,+9.5,+0.40%,"7,292",8.6,0.87,3.75
2021/05/14,45,6501,日立,東１,"5,384",,+134,+2.55%,"7,232",9.5,1.48,－
2021/05/14,46,1357,日経Ｄインバ,東Ｅ,443,,-21,-4.53%,"7,141",－,－,－
2021/05/14,47,3659,ネクソン,東１,"2,805",,+17,+0.61%,"7,031",－,3.23,0.18
2021/05/14,48,4751,サイバー,東１,"2,099",,+68,+3.35%,"7,011",42.4,10.59,0.48
2021/05/14,49,6326,クボタ,東１,"2,607.0",,+54.0,+2.12%,"6,991",19.9,2.01,－
2021/05/14,50,7936,アシックス,東１,"2,178",S,+400,+22.50%,"6,734",144,2.79,1.10
2021/05/14,51,9432,ＮＴＴ,東１,"2,905.0",,+56.0,+1.97%,"6,703",9.7,1.39,3.79
2021/05/14,52,3382,セブン＆アイ,東１,"4,942",,+122,+2.53%,"6,517",－,1.63,－
2021/05/14,53,7733,オリンパス,東１,"2,097.0",,+47.0,+2.29%,"6,461",30.3,6.84,0.67
2021/05/14,54,6502,東芝,東１,"4,510",,+40,+0.89%,"6,340",－,1.76,－
2021/05/14,55,4502,武田,東１,"3,740.0",,+62.0,+1.69%,"6,335",23.4,1.13,4.81
2021/05/14,56,5713,住友鉱,東１,"4,880",,-119,-2.38%,"6,318",12.9,1.20,2.73
2021/05/14,57,9735,セコム,東１,"8,717",,-266,-2.96%,"6,316",22.0,1.76,2.01
2021/05/14,58,8058,三菱商,東１,"2,935.0",,+54.0,+1.87%,"6,293",11.4,0.77,4.57
2021/05/14,59,8802,菱地所,東１,"1,791.5",,+12.5,+0.70%,"6,238",16.9,1.29,1.84
2021/05/14,60,4519,中外薬,東１,"4,120",,+212,+5.42%,"6,079",－,6.89,1.46
2021/05/14,61,9202,ＡＮＡＨＤ,東１,"2,447.5",,+25.5,+1.05%,"6,027",328,1.14,－
2021/05/14,62,4165,プレイド,東Ｍ,"3,020",,-680,-18.38%,"5,958",－,23.79,－
2021/05/14,63,6723,ルネサス,東１,"1,184",,+42,+3.68%,"5,924",－,2.86,－
2021/05/14,64,7267,ホンダ,東１,"3,327.0",,+33.0,+1.00%,"5,836",9.7,0.63,3.31
2021/05/14,65,6378,木村化,東１,870,,+140,+19.18%,"5,700",12.5,1.30,1.72
2021/05/14,66,7731,ニコン,東１,"1,068",,+77,+7.77%,"5,658",24.5,0.73,2.81
2021/05/14,67,4901,富士フイルム,東１,"7,069",,+168,+2.43%,"5,608",21.7,1.28,1.41
2021/05/14,68,3903,ｇｕｍｉ,東１,"1,164",,+14,+1.22%,"5,583",－,2.24,－
2021/05/14,69,6752,パナソニック,東１,"1,215.5",,+9.0,+0.75%,"5,475",13.5,1.09,－
2021/05/14,70,8508,Ｊトラスト,東２,350,,+32,+10.06%,"5,459",18.5,0.38,0.29
2021/05/14,71,6697,テクポイント,東Ｍ,"1,781",,+158,+9.74%,"5,457",－,－,－
2021/05/14,72,9201,ＪＡＬ,東１,"2,255",,+11,+0.49%,"5,446",－,1.04,－
2021/05/14,73,3298,インベスコＯ,東Ｒ,"20,290",,+190,+0.95%,"5,434",25.2,1.56,3.96
