日付,順位,コード,銘柄名,市場,株価,S高,前日比,前日比(%),出来高,ＰＥＲ,ＰＢＲ,利回り
2021/05/14,1,1435,ロボホーム,東１,,S,+50,+30.49%,"7,886,400",69.7,2.64,－
2021/05/14,2,2586,フルッタ,東Ｍ,,S,+50,+25.25%,"3,858,100",－,2.57,－
2021/05/14,3,7936,アシックス,東１,,S,+400,+22.50%,"3,598,000",144,2.79,1.10
2021/05/14,4,4435,カオナビ,東Ｍ,,S,+700,+22.47%,"344,400","1,673",45.19,－
2021/05/14,5,7202,いすゞ,東１,,,+232,+21.68%,"10,956,600",9.2,0.99,4.45
2021/05/14,6,3925,ダブスタ,東１,,S,+700,+20.71%,"48,100",25.9,9.97,1.72
2021/05/14,7,2489,アドウェイズ,東１,,S,+150,+20.49%,"2,699,500",149,3.08,0.41
2021/05/14,8,6709,明星電,東２,,S,+150,+19.95%,"69,200",－,1.98,－
2021/05/14,9,6493,日鍛バ,東２,,,+44,+19.56%,"2,939,500",5.0,0.34,4.09
2021/05/14,10,6378,木村化,東１,,,+140,+19.18%,"4,251,400",12.5,1.30,1.72
2021/05/14,11,4933,Ｉｎｅ,東Ｍ,,S,+700,+18.47%,"36,700",42.1,5.18,－
2021/05/14,12,4582,シンバイオ,ＪＧ,,,+211,+18.02%,"9,650,800",45.9,13.73,－
2021/05/14,13,4552,ＪＣＲファ,東１,,S,+502,+17.75%,"1,913,300",31.0,10.87,0.48
2021/05/14,14,7291,日本プラスト,東１,,S,+100,+17.61%,"442,200",4.9,0.39,4.49
2021/05/14,15,6612,バルミューダ,東Ｍ,,S,"+1,000",+17.27%,"34,100",60.2,10.16,－
2021/05/14,16,5981,東京綱,東１,,,+178,+16.90%,"382,600",18.0,0.85,1.62
2021/05/14,17,3675,クロスマーケ,東１,,S,+80,+16.88%,"168,800",11.0,2.74,1.34
2021/05/14,18,7068,フィード,東Ｍ,,S,+150,+16.30%,"140,000",58.6,12.57,－
2021/05/14,19,7242,ＫＹＢ,東１,,,+515,+16.12%,"873,400",5.9,0.86,2.43
2021/05/14,20,6125,岡本工,東２,,,+530,+15.75%,"179,100",7.8,1.03,3.08
2021/05/14,21,9467,アルファＰ,東Ｍ,,,+419,+14.80%,"152,600",21.2,4.21,－
2021/05/14,22,3182,オイシックス,東１,,,+400,+14.79%,"1,652,000",37.8,5.94,－
