日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/05/13,4498,マザーズ,サイバートラスト(株),"6,480",+18.25%,"+1,000","6,480"
2021/05/13,6081,マザーズ,アライドアーキテクツ(株),782,+14.66%,+100,782
2021/05/13,6198,マザーズ,(株)キャリア,565,+14.14%,+70,575
2021/05/13,6697,マザーズ,テックポイント,"1,623",+22.68%,+300,"1,623"
2021/05/13,7280,東証1部,(株)ミツバ,741,+15.60%,+100,741
2021/05/13,8298,東証JQS,(株)ファミリー,750,+15.21%,+99,751
2021/05/14,1435,東証1部,(株)Ｒｏｂｏｔ　Ｈｏｍｅ,214,+30.49%,+50,214
2021/05/14,2150,マザーズ,(株)ケアネット,"5,190",+12.34%,+570,"5,320"
2021/05/14,2489,東証1部,(株)アドウェイズ,882,+20.49%,+150,882
2021/05/14,2586,マザーズ,(株)フルッタフルッタ,248,+25.25%,+50,248
2021/05/14,3675,東証1部,(株)クロス・マーケティンググループ,554,+16.88%,+80,554
2021/05/14,3925,東証1部,(株)ダブルスタンダード,"4,080",+20.71%,+700,"4,080"
2021/05/14,4435,マザーズ,(株)カオナビ,"3,815",+22.47%,+700,"3,815"
2021/05/14,4517,東証1部,ビオフェルミン製薬(株),"3,400",+13.71%,+410,"3,490"
2021/05/14,4552,東証1部,ＪＣＲファーマ(株),"3,330",+17.75%,+502,"3,330"
2021/05/14,4933,マザーズ,(株)Ｉ−ｎｅ,"4,490",+18.47%,+700,"4,490"
2021/05/14,6612,マザーズ,バルミューダ(株),"6,790",+17.27%,"+1,000","6,790"
2021/05/14,6666,東証JQS,リバーエレテック(株),"1,095",+9.83%,+98,"1,147"
2021/05/14,6709,東証2部,明星電気(株),902,+19.95%,+150,902
2021/05/14,7068,マザーズ,(株)フィードフォース,"1,070",+16.30%,+150,"1,070"
2021/05/14,7218,東証JQS,田中精密工業(株),642,+3.72%,+23,719
2021/05/14,7291,東証1部,日本プラスト(株),668,+17.61%,+100,668
2021/05/14,7936,東証1部,(株)アシックス,"2,178",+22.50%,+400,"2,178"
2021/05/17,2970,東証JQS,(株)グッドライフカンパニー,"1,140",+11.66%,+119,"1,321"
2021/05/17,3465,東証1部,ケイアイスター不動産(株),"4,335",+19.26%,+700,"4,335"
2021/05/17,3975,東証1部,ＡＯＩ　ＴＹＯ　Ｈｏｌｄｉｎｇｓ(株),710,+16.39%,+100,710
2021/05/17,4193,東証JQS,(株)ファブリカコミュニケーションズ,"6,340",+18.73%,"+1,000","6,340"
2021/05/17,4449,東証1部,(株)ギフティ,"3,490",+16.72%,+500,"3,490"
2021/05/17,4497,マザーズ,(株)ロコガイド,"2,933",+1.91%,+55,"3,380"
2021/05/17,4933,マザーズ,(株)Ｉ−ｎｅ,"5,190",+15.59%,+700,"5,190"
2021/05/17,5185,東証1部,(株)フコク,930,+18.17%,+143,937
2021/05/17,5964,東証2部,東洋刃物(株),980,+12.00%,+105,"1,025"
2021/05/17,6293,東証1部,日精樹脂工業(株),"1,122",+15.31%,+149,"1,123"
2021/05/17,6562,マザーズ,(株)ジーニー,"1,125",+12.84%,+128,"1,147"
2021/05/17,6899,東証2部,ＡＳＴＩ(株),"2,301",+16.15%,+320,"2,381"
2021/05/17,7092,マザーズ,(株)Ｆａｓｔ　Ｆｉｔｎｅｓｓ　Ｊａｐａｎ,"5,370",+15.11%,+705,"5,370"
2021/05/18,1447,マザーズ,ＩＴｂｏｏｋホールディングス(株),447,+21.80%,+80,447
2021/05/18,3975,東証1部,ＡＯＩ　ＴＹＯ　Ｈｏｌｄｉｎｇｓ(株),860,+21.13%,+150,860
2021/05/18,5964,東証2部,東洋刃物(株),"1,087",+10.92%,+107,"1,130"
2021/05/18,6198,マザーズ,(株)キャリア,535,+17.58%,+80,535
2021/05/20,4495,マザーズ,(株)アイキューブドシステムズ,"4,915",+16.61%,+700,"4,915"
2021/05/20,6337,東証JQS,(株)テセック,"2,926",+6.98%,+191,"3,235"
2021/05/20,6550,マザーズ,Ｆｒｉｎｇｅ８１(株),401,+24.92%,+80,401
2021/05/20,9271,マザーズ,(株)和心,539,-6.42%,-37,676
2021/05/21,5212,東証JQS,不二硝子(株),"1,671",+21.88%,+300,"1,671"
2021/05/21,6198,マザーズ,(株)キャリア,609,+19.65%,+100,609
2021/05/21,6620,東証1部,宮越ホールディングス(株),"1,015",+8.32%,+78,"1,087"
2021/05/21,7363,マザーズ,(株)ベビーカレンダー,"7,660",+15.02%,"+1,000","7,660"
